TPJOJ.2.4                  : Data Processing Version ID
000402 Tana_1              : Target database id number and name
 12.090  37.410            : Latitude and longitude (degrees East) of target mid-point
 12.199  11.950            : Latitude range of pass traversing target at which data is accepted
 94      47                : Satellite pass and revolution number designation
         38                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
19970519  8 57      0.92   1787.13
19970529  6 56      0.86   1787.07
99999999 99 99    999.99   9999.99
19970618  2 53      0.81   1787.02
19970628  0 52      0.84   1787.05
19970707 22 50      0.88   1787.09
19970717 20 49      1.08   1787.29
19970727 18 47      1.32   1787.53
19970806 16 46    999.99   9999.99
19970816 14 44      1.60   1787.81
19970826 12 43      1.82   1788.03
19970905 10 41      2.02   1788.23
19970915  8 40      2.07   1788.28
19970925  6 38      2.11   1788.32
19971005  4 37      2.12   1788.33
19971015  2 35    999.99   9999.99
19971025  0 34      2.13   1788.34
19971103 22 32      2.12   1788.33
19971113 20 31      2.12   1788.33
19971123 18 29      2.09   1788.30
19971203 16 28      2.01   1788.22
19971213 14 26      1.93   1788.14
19971223 12 25      1.86   1788.07
19980102 10 23      1.76   1787.97
19980112  8 22      1.64   1787.85
19980122  6 21      1.54   1787.75
19980201  4 19    999.99   9999.99
19980211  2 18    999.99   9999.99
19980221  0 16    999.99   9999.99
19980302 22 15      1.42   1787.63
19980312 20 13    999.99   9999.99
19980322 18 12      1.29   1787.50
19980401 16 10    999.99   9999.99
19980411 14  9      1.18   1787.39
19980421 12  7      1.11   1787.32
19980501 10  6      1.04   1787.25
19980511  8  4      0.97   1787.18
19980521  6  3      0.92   1787.13
19980531  4  1      0.88   1787.09
19980610  2  0      0.84   1787.05
19980619 23 58      0.89   1787.10
19980629 21 57      1.03   1787.24
19980709 19 55      1.33   1787.54
19980719 17 54    999.99   9999.99
19980729 15 52    999.99   9999.99
19980808 13 51      1.66   1787.87
19980818 11 50      2.06   1788.27
19980828  9 48      2.39   1788.60
19980907  7 47    999.99   9999.99
19980917  5 45      2.51   1788.72
19980927  3 44    999.99   9999.99
19981007  1 42      2.49   1788.70
19981016 23 41    999.99   9999.99
19981026 21 39    999.99   9999.99
19981105 19 38    999.99   9999.99
19981115 17 36      2.41   1788.62
19981125 15 35      2.26   1788.47
19981205 13 33      2.08   1788.29
19981215 11 32      2.01   1788.22
19981225  9 30      1.94   1788.15
19990104  7 29      1.85   1788.06
19990114  5 27      1.76   1787.97
19990124  3 26    999.99   9999.99
19990203  1 24      1.61   1787.82
19990212 23 23    999.99   9999.99
19990222 21 22      1.46   1787.67
19990304 19 20      1.35   1787.56
19990314 17 19      1.24   1787.45
19990324 15 17      1.13   1787.34
19990403 13 16      1.11   1787.32
19990413 11 14      1.07   1787.28
19990423  9 13      1.02   1787.23
19990503  7 11      0.95   1787.16
19990513  5 10      0.89   1787.10
19990523  3  8      0.81   1787.02
19990602  1  7      0.76   1786.97
19990611 23  5      0.78   1786.99
19990621 21  4      0.92   1787.13
19990701 19  2    999.99   9999.99
19990711 17  1      1.13   1787.34
19990721 14 59    999.99   9999.99
19990731 12 58      1.36   1787.57
19990810 10 56      1.72   1787.93
19990820  8 55      2.03   1788.24
19990830  6 53    999.99   9999.99
19990909  4 52    999.99   9999.99
19990919  2 51      2.26   1788.47
19990929  0 49      2.42   1788.63
19991008 22 48    999.99   9999.99
19991018 20 46      2.52   1788.73
19991028 18 45      2.44   1788.65
19991107 16 43    999.99   9999.99
19991117 14 42    999.99   9999.99
19991127 12 40      2.30   1788.51
19991207 10 39    999.99   9999.99
19991217  8 37      2.16   1788.37
19991227  6 36    999.99   9999.99
20000106  4 34      1.98   1788.19
20000116  2 33      1.82   1788.03
20000126  0 31      1.71   1787.92
20000204 22 30      1.63   1787.84
20000214 20 28    999.99   9999.99
20000224 18 27    999.99   9999.99
20000305 16 25      1.54   1787.75
20000315 14 24      1.44   1787.65
20000325 12 22      1.36   1787.57
20000404 10 21    999.99   9999.99
20000414  8 19      1.29   1787.50
20000424  6 18      1.20   1787.41
20000504  4 17      1.11   1787.32
20000514  2 15      1.08   1787.29
20000524  0 14      1.06   1787.27
20000602 22 12      1.05   1787.26
20000612 20 11      1.06   1787.27
20000622 18  9      1.11   1787.32
20000702 16  8      1.18   1787.39
20000712 14  6      1.32   1787.53
20000722 12  5      1.49   1787.70
20000801 10  3      1.76   1787.97
20000811  8  2      2.00   1788.21
20000821  6  0    999.99   9999.99
20000831  3 59      2.23   1788.44
20000910  1 57      2.38   1788.59
20000919 23 56      2.50   1788.71
20000929 21 54      2.51   1788.72
20001009 19 53    999.99   9999.99
20001019 17 51      2.49   1788.70
20001029 15 50    999.99   9999.99
20001108 13 49      2.44   1788.65
20001118 11 47      2.32   1788.53
20001128  9 46      2.19   1788.40
20001208  7 44      2.06   1788.27
20001218  5 43    999.99   9999.99
20001228  3 41      1.95   1788.16
20010107  1 40    999.99   9999.99
20010116 23 38      1.86   1788.07
20010126 21 37      1.81   1788.02
20010205 19 35      1.78   1787.99
20010215 17 34      1.70   1787.91
20010225 15 32      1.60   1787.81
20010307 13 31    999.99   9999.99
20010317 11 29      1.46   1787.67
20010327  9 28      1.23   1787.44
20010406  7 26    999.99   9999.99
20010416  5 25      1.01   1787.22
20010426  3 23      0.83   1787.04
20010506  1 22      0.72   1786.93
20010515 23 20      0.65   1786.86
20010525 21 19      0.69   1786.90
20010604 19 18      0.76   1786.97
20010614 17 16      0.82   1787.03
20010624 15 15    999.99   9999.99
20010704 13 13      0.88   1787.09
20010714 11 12      1.02   1787.23
20010724  9 10      1.23   1787.44
20010803  7  9      1.49   1787.70
20010813  5  7      1.76   1787.97
20010823  3  6      2.05   1788.26
20010902  1  4      2.25   1788.46
20010911 23  3      2.34   1788.55
20010921 21 17      2.34   1788.55
20011001 19  0      2.32   1788.53
20011011 16 58    999.99   9999.99
20011021 14 57      2.23   1788.44
20011031 12 55      2.13   1788.34
20011110 10 54      2.08   1788.29
20011120  8 52      1.99   1788.20
20011130  6 51      1.90   1788.11
20011210  4 49      1.84   1788.05
20011220  2 48      1.76   1787.97
20011230  0 46      1.67   1787.88
20020108 22 45      1.60   1787.81
20020118 20 44      1.54   1787.75
20020128 18 42      1.44   1787.65
20020207 16 41      1.36   1787.57
20020217 14 39      1.26   1787.47
20020227 12 38      1.16   1787.37
20020309 10 36      1.04   1787.25
20020319  8 35      0.94   1787.15
20020329  6 33      0.81   1787.02
20020408  4 32      0.68   1786.89
20020418  2 30      0.54   1786.75
20020428  0 29      0.43   1786.64
20020507 22 27    999.99   9999.99
20020517 20 26      0.33   1786.54
20020527 18 24      0.26   1786.47
20020606 16 23      0.22   1786.43
20020616 14 21      0.27   1786.48
20020626 12 20      0.35   1786.56
20020706 10 18    999.99   9999.99
20020716  8 17    999.99   9999.99
20020726  6 15      0.52   1786.73
20020805  4 14      0.60   1786.81
20020118 20 42      1.52   1787.73
20020128 18 41      1.39   1787.60
20020207 16 39      1.33   1787.54
20020217 14 38      1.24   1787.45
20020227 12 36      1.15   1787.36
20020309 10 35      1.04   1787.25
20020319  8 33      0.94   1787.15
20020329  6 32      0.84   1787.05
20020408  4 31      0.73   1786.94
20020418  2 29      0.63   1786.84
20020427  0 28      0.53   1786.74
20020507 22 26      0.43   1786.64
20020517 20 25      0.33   1786.54
20020527 18 23      0.26   1786.47
20020606 16 22      0.21   1786.42
20020616 14 20      0.19   1786.40
20020626 12 19      0.21   1786.42
20020706 10 17      0.29   1786.50
20020716  8 16      0.39   1786.60
20020726  6 14      0.55   1786.76
20020805  4 13      0.72   1786.93
20020815  2 11      0.92   1787.13
20020824  0 10      1.10   1787.31
20020903 22  8      1.25   1787.46
20020913 20  7      1.34   1787.55
20020923 18  5      1.39   1787.60
20021003 16  4      1.39   1787.60
20021013 14  3      1.36   1787.57
20021023 12  1      1.32   1787.53
20021102 10  0      1.26   1787.47
20021112  7 58      1.18   1787.39
20021122  5 57      1.10   1787.31
20021202  3 55      1.00   1787.21
20021212  1 54      0.91   1787.12
20021221 23 52      0.84   1787.05
20021231 21 51      0.76   1786.97
20030110 19 49      0.68   1786.89
20030120 17 48      0.62   1786.83
20030130 15 46      0.55   1786.76
20030209 13 45      0.48   1786.69
20030219 11 43      0.40   1786.61
20030301  9 42      0.32   1786.53
20030311  7 40      0.23   1786.44
20030321  5 39      0.14   1786.35
20030331  3 37      0.03   1786.24
20030410  1 36     -0.06   1786.15
20030419 23 35     -0.16   1786.05
20030429 21 33     -0.25   1785.96
20030509 19 32     -0.35   1785.86
20030519 17 30     -0.43   1785.78
20030529 15 29     -0.49   1785.72
20030608 13 27     -0.52   1785.69
20030618 11 26     -0.51   1785.70
20030628  9 24     -0.42   1785.79
20030708  7 23     -0.30   1785.91
20030718  5 21     -0.13   1786.08
20030728  3 20      0.11   1786.32
20030807  1 18      0.38   1786.59
20030816 23 17      0.64   1786.85
20030826 21 15      0.94   1787.15
20030905 19 14      1.19   1787.40
20030915 17 12      1.40   1787.61
20030925 15 11      1.54   1787.75
20031005 13  9      1.64   1787.85
20031015 11  8      1.65   1787.86
20031025  9  7      1.63   1787.84
20031104  7  5      1.57   1787.78
20031114  5  4      1.49   1787.70
99999999 99 99    999.99   9999.99
20031204  1  1      1.40   1787.61
20031213 22 59      1.32   1787.53
20031223 20 58      1.22   1787.43
20040102 18 56      1.13   1787.34
20040112 16 55      1.05   1787.26
20040122 14 53    999.99   9999.99
20040201 12 52      0.98   1787.19
20040211 10 50      0.90   1787.11
20040221  8 49      0.82   1787.03
20040302  6 47      0.74   1786.95
20040312  4 46      0.65   1786.86
20040322  2 44      0.56   1786.77
20040331  0 43      0.48   1786.69
20040410 22 42      0.39   1786.60
20040420 20 40      0.32   1786.53
20040430 18 39      0.24   1786.45
20040510 16 37      0.16   1786.37
20040520 14 36      0.08   1786.29
20040530 12 34      0.01   1786.22
20040609 10 33     -0.02   1786.19
20040619  8 31     -0.02   1786.19
20040629  6 30      0.05   1786.26
20040709  4 28      0.16   1786.37
20040719  2 27      0.34   1786.55
20040728  0 25      0.55   1786.76
20040807 22 24      0.78   1786.99
20040817 20 22      1.00   1787.21
20040827 18 21      1.19   1787.40
20040906 16 20      1.35   1787.56
20040916 14 18      1.46   1787.67
20040926 12 17      1.54   1787.75
20041006 10 15      1.59   1787.80
20041016  8 14      1.62   1787.83
20041026  6 12      1.61   1787.82
20041105  4 11      1.57   1787.78
20041115  2  9      1.53   1787.74
20041124  0  8      1.47   1787.68
20041204 22  6      1.42   1787.63
20041214 20  5      1.36   1787.57
20041224 18  3      1.31   1787.52
20050103 16  2      1.27   1787.48
20050113 14  0      1.22   1787.43
20050123 11 59      1.15   1787.36
20050202  9 57      1.09   1787.30
20050212  7 56      1.03   1787.24
20050222  5 54      0.96   1787.17
20050304  3 53      0.89   1787.10
20050314  1 52      0.82   1787.03
20050323 23 50      0.75   1786.96
20050402 21 49      0.67   1786.88
20050412 19 47      0.58   1786.79
20050422 17 46      0.50   1786.71
20050502 15 44      0.40   1786.61
20050512 13 43      0.31   1786.52
20050522 11 41      0.21   1786.42
20050601  9 40      0.15   1786.36
20050611  7 38      0.11   1786.32
20050621  5 37      0.13   1786.34
20050701  3 35      0.18   1786.39
20050711  1 34      0.29   1786.50
20050720 23 32      0.44   1786.65
20050730 21 31      0.60   1786.81
20050809 19 30      0.77   1786.98
20050819 17 28      0.95   1787.16
20050829 15 27      1.11   1787.32
20050908 13 25      1.26   1787.47
20050918 11 24      1.39   1787.60
20050928  9 22      1.49   1787.70
20051008  7 21      1.54   1787.75
20051018  5 19      1.56   1787.77
20051028  3 18      1.53   1787.74
20051107  1 16      1.48   1787.69
20051116 23 15      1.42   1787.63
20051126 21 13      1.35   1787.56
20051206 19 12      1.29   1787.50
20051216 17 10      1.24   1787.45
20051226 15  9      1.18   1787.39
20060105 13  7      1.12   1787.33
20060115 11  6      1.05   1787.26
20060125  9  4      0.98   1787.19
20060204  7  3      0.91   1787.12
20060214  5  2      0.85   1787.06
20060224  3  0      0.76   1786.97
20060306  0 59      0.68   1786.89
20060315 22 57      0.59   1786.80
20060325 20 56      0.48   1786.69
20060404 18 54      0.38   1786.59
20060414 16 53      0.29   1786.50
20060424 14 51      0.20   1786.41
20060504 12 50      0.13   1786.34
20060514 10 48      0.07   1786.28
20060524  8 47      0.04   1786.25
20060603  6 45      0.03   1786.24
20060613  4 44      0.03   1786.24
20060623  2 42      0.07   1786.28
20060702  0 41      0.16   1786.37
20060712 22 39      0.29   1786.50
20060722 20 38      0.49   1786.70
20060801 18 37      0.77   1786.98
20060811 16 35      1.09   1787.30
20060821 14 34      1.42   1787.63
20060831 12 32      1.71   1787.92
20060910 10 31      1.93   1788.14
20060920  8 29      2.06   1788.27
20060930  6 28      2.09   1788.30
20061010  4 26      2.06   1788.27
20061020  2 25      2.00   1788.21
20061030  1 48    999.99   9999.99
99999999 99 99    999.99   9999.99
20061118 20 20      1.92   1788.13
20061128 18 19      1.85   1788.06
20061208 16 17      1.79   1788.00
20061218 14 16      1.73   1787.94
20061228 12 15      1.66   1787.87
20070107 10 13      1.58   1787.79
20070117  8 12      1.48   1787.69
20070127  6 10      1.39   1787.60
20070206  4  9      1.29   1787.50
20070216  2  7      1.19   1787.40
20070225  0  6      1.08   1787.29
20070307 22  4      0.97   1787.18
20070317 20  3      0.86   1787.07
20070327 18  1      0.76   1786.97
20070406 16  0      0.66   1786.87
20070416 13 58      0.56   1786.77
20070426 11 57      0.49   1786.70
20070506  9 55      0.40   1786.61
20070516  7 54      0.32   1786.53
20070526  5 52      0.27   1786.48
20070605  3 51      0.24   1786.45
20070615  1 50      0.25   1786.46
20070624 23 48      0.32   1786.53
20070704 21 47      0.44   1786.65
20070714 19 45      0.60   1786.81
20070724 17 44      0.81   1787.02
20070803 15 42      1.04   1787.25
20070813 13 41      1.27   1787.48
20070823 11 39      1.50   1787.71
20070902  9 38      1.69   1787.90
20070912  7 36      1.81   1788.02
20070922  5 35      1.87   1788.08
20071002  3 33      1.87   1788.08
20071012  1 32      1.82   1788.03
20071021 23 30      1.76   1787.97
20071031 21 29      1.71   1787.92
20071110 19 27      1.65   1787.86
20071120 17 26      1.60   1787.81
20071130 15 25      1.54   1787.75
20071210 13 23      1.47   1787.68
20071220 11 22      1.39   1787.60
20071230  9 20      1.30   1787.51
20080109  7 19      1.18   1787.39
20080119  5 17      1.07   1787.28
20080129  3 16    999.99   9999.99
20080208  1 14      0.96   1787.17
20080217 23 13      0.85   1787.06
20080227 21 11      0.75   1786.96
20080308 19 10      0.65   1786.86
20080318 17  8      0.55   1786.76
20080328 15  7      0.47   1786.68
20080407 13  5      0.38   1786.59
20080417 11  4      0.31   1786.52
20080427  9  2      0.24   1786.45
20080507  7  1      0.18   1786.39
20080517  4 59      0.12   1786.33
20080527  2 58      0.08   1786.29
20080606  0 57      0.04   1786.25
20080615 22 55      0.04   1786.25
20080625 20 54      0.08   1786.29
20080705 18 52      0.18   1786.39
20080715 16 51      0.34   1786.55
20080725 14 49      0.68   1786.89
20080804 12 48      1.06   1787.27
99999999 99 99    999.99   9999.99
20080824  8 45    999.99   9999.99
20080903  6 43      1.40   1787.61
20080913  4 42      1.69   1787.90
20080923  2 40      1.90   1788.11
20081002  0 39      1.91   1788.12
20081012 22 37      1.88   1788.09
20081022 20 36      1.85   1788.06
20081101 18 34      1.79   1788.00
20081111 16 33      1.74   1787.95
20081121 14 32      1.68   1787.89
20081201 12 30      1.61   1787.82
20081211 10 29      1.52   1787.73
20081221  8 27      1.44   1787.65
20081231  6 26      1.34   1787.55
20090110  4 24      1.28   1787.49
20090120  2 23      1.13   1787.34
20080715 16 52      0.31   1786.52
20080725 14 50    999.99   9999.99
20080804 12 49      0.83   1787.04
20080814 10 47      1.21   1787.42
20080824  8 46      1.54   1787.75
20080903  6 44    999.99   9999.99
20080913  4 43      1.77   1787.98
20080923  2 41      1.89   1788.10
20081002  0 40      1.94   1788.15
20081012 22 38      1.89   1788.10
20081022 20 37      1.84   1788.05
20081101 18 35      1.79   1788.00
20081111 16 34      1.73   1787.94
20081121 14 32      1.66   1787.87
20081201 12 31      1.59   1787.80
20081211 10 29      1.51   1787.72
20081221  8 28      1.42   1787.63
20081231  6 27      1.33   1787.54
20090110  4 25      1.24   1787.45
20090120  2 24      1.14   1787.35
20090129  0 22      1.07   1787.28
20090208 22 21      0.98   1787.19
20090218 20 19      0.90   1787.11
20090228 18 18      0.82   1787.03
20090310 16 16      0.73   1786.94
20090320 14 15      0.63   1786.84
20090330 12 13      0.54   1786.75
20090409 10 12      0.43   1786.64
20090419  8 10      0.32   1786.53
20090429  6  9      0.22   1786.43
20090509  4  7      0.11   1786.32
20090519  2  6      0.00   1786.21
20090528  0  4     -0.07   1786.14
20090607 22  3     -0.13   1786.08
20090617 20  1     -0.14   1786.07
20090627 18  0     -0.13   1786.08
20090707 15 59     -0.05   1786.16
20090717 13 57      0.06   1786.27
20090727 11 56      0.21   1786.42
20090806  9 54      0.41   1786.62
20090816  7 53      0.66   1786.87
20090826  5 51      0.86   1787.07
20090905  3 50      1.04   1787.25
20090915  1 48      1.17   1787.38
20090924 23 47      1.23   1787.44
20091004 21 45      1.21   1787.42
20091014 19 44      1.17   1787.38
20091024 17 42      1.11   1787.32
20091103 15 41      1.05   1787.26
20091113 13 39      0.99   1787.20
20091123 11 38      0.92   1787.13
20091203  9 36      0.83   1787.04
20091213  7 35      0.76   1786.97
20091223  5 33      0.69   1786.90
20100102  3 32      0.61   1786.82
20100112  1 31      0.56   1786.77
20100121 23 29      0.52   1786.73
20100131 21 28      0.47   1786.68
20100210 19 26      0.40   1786.61
20100220 17 25      0.35   1786.56
20100302 15 23      0.29   1786.50
20100312 13 22      0.23   1786.44
20100322 11 20      0.17   1786.38
20100401  9 19      0.11   1786.32
20100411  7 17      0.04   1786.25
20100421  5 16     -0.02   1786.19
20100501  3 14     -0.08   1786.13
20100511  1 13     -0.14   1786.07
20100520 23 11     -0.18   1786.03
20100530 21 10     -0.21   1786.00
20100609 19  8     -0.22   1785.99
20100619 17  7     -0.19   1786.02
20100629 15  5     -0.11   1786.10
20100709 13  4      0.05   1786.26
20100719 11  2      0.27   1786.48
20100729  9  1      0.54   1786.75
20100808  7  0      0.85   1787.06
20100818  4 58      1.19   1787.40
20100828  2 57      1.50   1787.71
20100907  0 55      1.78   1787.99
20100916 22 54      2.00   1788.21
20100926 20 52      2.15   1788.36
20101006 18 51      2.20   1788.41
20101016 16 49      2.21   1788.42
20101026 14 48      2.17   1788.38
20101105 12 46      2.12   1788.33
20101115 10 45      2.04   1788.25
20101125  8 43      1.97   1788.18
20101205  6 42      1.90   1788.11
20101215  4 40      1.84   1788.05
20101225  2 39      1.78   1787.99
20110103  0 37      1.74   1787.95
20110113 22 36      1.69   1787.90
20110123 20 34      1.66   1787.87
20110202 18 33      1.60   1787.81
20110212 16 32      1.55   1787.76
20110222 14 30      1.50   1787.71
20110304 12 29      1.42   1787.63
20110314 10 27      1.35   1787.56
20110324  8 26      1.28   1787.49
20110403  6 24      1.20   1787.41
20110413  4 23      1.12   1787.33
20110423  2 21      1.05   1787.26
20110502  0 20      0.98   1787.19
20110512 22 18      0.93   1787.14
20110522 20 17      0.90   1787.11
20110601 18 15      0.91   1787.12
20110611 16 14      0.94   1787.15
20110621 14 12      0.98   1787.19
20110701 12 11      1.07   1787.28
20110711 10  9      1.18   1787.39
20110721  8  8      1.34   1787.55
20110731  6  6      1.56   1787.77
20110810  4  5      1.81   1788.02
20110820  2  3      2.04   1788.25
20110829  0  2      2.27   1788.48
20110908 22  1      2.43   1788.64
20110918 19 59      2.50   1788.71
20110928 17 58      2.53   1788.74
20111008 15 56      2.50   1788.71
20111018 13 55      2.43   1788.64
20111028 11 53      2.33   1788.54
20111107  9 52      2.24   1788.45
20111117  7 50      2.15   1788.36
20111127  5 49      2.06   1788.27
20111207  3 47      1.97   1788.18
20111217  1 46      1.91   1788.12
20111226 23 44      1.85   1788.06
20120105 21 43      1.79   1788.00
20120115 19 41      1.72   1787.93
20120125 17 40      1.66   1787.87
20120204 15 38      1.59   1787.80
20120214 13 37      1.52   1787.73
20120224 11 35      1.45   1787.66
20120305  9 34      1.39   1787.60
20120315  7 33      1.31   1787.52
20120325  5 31      1.23   1787.44
20120404  3 30      1.14   1787.35
20120414  1 28      1.06   1787.27
20120423 23 27      0.99   1787.20
20120503 21 25      0.91   1787.12
20120513 19 24      0.85   1787.06
20120523 17 22      0.79   1787.00
20120602 15 21      0.74   1786.95
20120612 13 19      0.71   1786.92
20120622 11 18      0.74   1786.95
20120702  9 16      0.84   1787.05
20120712  7 15      1.02   1787.23
20120722  5 13      1.25   1787.46
20120801  3 12      1.51   1787.72
20120811  1 10      1.81   1788.02
20120820 23  9      2.07   1788.28
20120830 21  7      2.27   1788.48
20120909 19  6      2.41   1788.62
20120919 17  4      2.49   1788.70
20120929 15  3      2.49   1788.70
20121009 13  2      2.45   1788.66
20121019 11  0      2.40   1788.61
20121029  8 59      2.33   1788.54
20121108  6 57      2.24   1788.45
20121118  4 56      2.17   1788.38
20121128  2 54      2.10   1788.31
20121208  0 53      2.02   1788.23
20121217 22 51      1.94   1788.15
