TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
19970510 11 25      0.56   1135.68
19970520  9 23      0.59   1135.71
19970530  7 22      0.60   1135.72
19970609  5 20      0.58   1135.70
19970619  3 19      0.55   1135.67
19970629  1 17      0.50   1135.62
19970708 23 16      0.46   1135.58
19970718 21 14      0.43   1135.55
19970728 19 13      0.40   1135.52
19970807 17 12      0.36   1135.48
19970817 15 10      0.34   1135.46
19970827 13  9      0.30   1135.42
19970906 11  7      0.26   1135.38
19970916  9  6      0.21   1135.33
19970926  7  4      0.17   1135.29
19971006  5  3      0.14   1135.26
19971016  3  1      0.14   1135.26
19971026  1  0      0.17   1135.29
19971104 22 58      0.22   1135.34
19971114 20 57      0.31   1135.43
19971124 18 55      0.42   1135.54
19971204 16 54      0.55   1135.67
19971214 14 52      0.68   1135.80
19971224 12 51      0.82   1135.94
19980103 10 49      0.95   1136.07
19980113  8 48      1.05   1136.17
99999999 99 99    999.99   9999.99
19980202  4 45      1.13   1136.25
19980212  2 44      1.20   1136.32
19980222  0 42      1.24   1136.36
19980303 22 41      1.27   1136.39
19980313 20 39      1.29   1136.41
19980323 18 38      1.30   1136.42
19980402 16 36      1.34   1136.46
19980412 14 35      1.39   1136.51
19980422 12 33      1.46   1136.58
19980502 10 32      1.53   1136.65
19980512  8 30      1.59   1136.71
19980522  6 29      1.62   1136.74
19980601  4 27      1.62   1136.74
19980611  2 26      1.61   1136.73
19980621  0 24      1.58   1136.69
19980630 22 23      1.54   1136.66
19980710 20 21      1.50   1136.61
19980720 18 20      1.45   1136.57
19980730 16 18      1.41   1136.53
19980809 14 17      1.37   1136.49
19980819 12 15      1.33   1136.45
19980829 10 14      1.30   1136.42
19980908  8 13      1.28   1136.40
19980918  6 11      1.25   1136.37
19980928  4 10      1.24   1136.36
19981008  2  8      1.23   1136.35
19981018  0  7      1.22   1136.34
19981027 22  5      1.21   1136.33
19981106 20  4      1.21   1136.33
19981116 18  2      1.19   1136.31
19981126 16  1      1.18   1136.30
19981206 13 59      1.16   1136.28
19981216 11 58      1.15   1136.27
19981226  9 56      1.14   1136.26
19990105  7 55      1.14   1136.26
19990115  5 53      1.11   1136.23
19990125  3 52      1.09   1136.21
19990204  1 50      1.06   1136.18
19990213 23 49      1.03   1136.15
19990223 21 47      1.01   1136.13
19990305 19 46      1.02   1136.14
